Species,LATITUDE,LONGITUDE
Artibeus aequatorialis,0.516666667,-79.36666667
Artibeus aequatorialis,0.517777778,-79.34138889
Artibeus aequatorialis,0.65,-79.53333333
Artibeus aequatorialis,0.681388889,-78.94611111
Artibeus aequatorialis,0.716666667,-79.68333333
Artibeus aequatorialis,0.716666667,-80.08333333
Artibeus aequatorialis,0.729722222,-78.91888889
Artibeus aequatorialis,0.783333333,-78.98333333
Artibeus aequatorialis,0.864722222,-78.56666667
Artibeus aequatorialis,0.878333333,-78.79222222
Artibeus aequatorialis,0.933333333,-79.38777778
Artibeus aequatorialis,0.933333333,-79.43333333
Artibeus aequatorialis,0.983333333,-79.65555556
Artibeus aequatorialis,1.036666667,-78.77361111
Artibeus aequatorialis,1.058928,-78.62242587
Artibeus aequatorialis,1.066666667,-79.41666667
Artibeus aequatorialis,1.072583333,-78.7115
Artibeus aequatorialis,1.093555556,-78.70597222
Artibeus aequatorialis,1.114166667,-78.99361111
Artibeus aequatorialis,1.201111111,-78.56166667
Artibeus aequatorialis,1.232,-78.76583333
Artibeus aequatorialis,1.258611111,-78.78083333
Artibeus aequatorialis,1.266666667,-78.81666667
Artibeus aequatorialis,1.270277778,-78.80305556
Artibeus aequatorialis,1.346,-78.71666944
Artibeus aequatorialis,1.358333333,-78.71666667
Artibeus aequatorialis,-2.433333333,-79.66666667
Artibeus aequatorialis,-2.427277778,-80.02158333
Artibeus aequatorialis,-2.420888889,-79.63138889
Artibeus aequatorialis,-2.166666667,-79.16666667
Artibeus aequatorialis,-1.966666667,-80.01666667
Artibeus aequatorialis,-1.5,-79.9
Artibeus aequatorialis,0.251319444,-78.76336111
Artibeus aequatorialis,0.2925,-78.96055556
Artibeus aequatorialis,0.815277778,-78.38833333
Artibeus aequatorialis,-4.066666667,-79.63333333
Artibeus aequatorialis,-3.896805556,-80.07644444
Artibeus aequatorialis,-1.333333333,-79.58333333
Artibeus aequatorialis,-0.9,-79.48333333
Artibeus aequatorialis,-0.5864,-79.36666667
Artibeus aequatorialis,-1.614166667,-80.68472222
Artibeus aequatorialis,-1.6,-80.7
Artibeus aequatorialis,-1.516666667,-80.7
Artibeus aequatorialis,-1.483333333,-80.33333333
Artibeus aequatorialis,0,-80.1
Artibeus aequatorialis,0.033333333,-79.96666667
Artibeus aequatorialis,0.083333333,-80.05
Artibeus aequatorialis,0.05,-79.11666667
Artibeus aequatorialis,0.169444444,-78.66805556
Artibeus aequatorialis,0.183333333,-78.63333333
Artibeus aequatorialis,0.218577778,-78.84266944
Artibeus aequatorialis,-2.316666667,-80.4
Artibeus aequatorialis,-0.333333333,-78.98333333
Artibeus aequatorialis,-0.25,-79.18333333
Artibeus aequatorialis,-0.033333333,-79.48333333
Artibeus aequatorialis,0.004167,-79.38667
Artibeus concolor,-1.466666667,-78.11861111
Artibeus concolor,-1.1167,-76.95
Artibeus fraterculus,-3.345,-79.29
Artibeus fraterculus,-3.325555556,-79.29833333
Artibeus fraterculus,-3.313888889,-79.47444444
Artibeus fraterculus,-3.233299833,-79.2
Artibeus fraterculus,-2.998,-79.503
Artibeus fraterculus,-3.8795,-80.09286111
Artibeus fraterculus,-3.766583333,-79.64747222
Artibeus fraterculus,-3.736552778,-79.59475
Artibeus fraterculus,-3.702,-79.62177778
Artibeus fraterculus,-3.68975,-79.59547222
Artibeus fraterculus,-3.684444444,-79.62227778
Artibeus fraterculus,-3.680888889,-79.58194444
Artibeus fraterculus,-3.674277778,-80.10555556
Artibeus fraterculus,-3.659722222,-80.16555556
Artibeus fraterculus,-3.656694444,-80.18227778
Artibeus fraterculus,-3.646916667,-80.16133333
Artibeus fraterculus,-3.55,-80.05
Artibeus fraterculus,-3.55,-80.18333333
Artibeus fraterculus,-3.495,-80.11333333
Artibeus fraterculus,-3.470555556,-80.1175
Artibeus fraterculus,-3.457777778,-80.10555556
Artibeus fraterculus,-3.45,-79.96666667
Artibeus fraterculus,-2.759583333,-79.91708333
Artibeus fraterculus,-2.744611111,-79.91488889
Artibeus fraterculus,-2.433333333,-79.66666667
Artibeus fraterculus,-2.427277778,-80.02158333
Artibeus fraterculus,-2.42675,-79.56125
Artibeus fraterculus,-2.421027778,-79.62697222
Artibeus fraterculus,-2.233333333,-80.06666667
Artibeus fraterculus,-2.166666667,-80.03333333
Artibeus fraterculus,-2.166666667,-79.83333333
Artibeus fraterculus,-2.155055556,-80.0285
Artibeus fraterculus,-1.833327778,-80.71666389
Artibeus fraterculus,-4.3833,-80.25
Artibeus fraterculus,-4.255888889,-79.21716667
Artibeus fraterculus,-4.216665833,-79.25
Artibeus fraterculus,-4.188333333,-79.28179722
Artibeus fraterculus,-4.166699833,-80.4333
Artibeus fraterculus,-4.091002778,-79.34027778
Artibeus fraterculus,-4.083333333,-79.8
Artibeus fraterculus,-4.016666833,-79.75
Artibeus fraterculus,-4.016666667,-79.61666667
Artibeus fraterculus,-3.983333333,-79.35
Artibeus fraterculus,-3.896805556,-80.07644444
Artibeus fraterculus,-1.553888889,-79.76222222
Artibeus fraterculus,-1.55,-79.53333333
Artibeus fraterculus,-1.466666667,-79.65
Artibeus fraterculus,-1.333333333,-79.58333333
Artibeus fraterculus,-1.633333333,-80.75
Artibeus fraterculus,-1.614166667,-80.68472222
Artibeus fraterculus,-1.6,-80.7
Artibeus fraterculus,-1.533333333,-80.8
Artibeus fraterculus,-1.525833333,-80.70694444
Artibeus fraterculus,-1.078888889,-80.78333333
Artibeus fraterculus,-0.583333333,-80.4
Artibeus fraterculus,-0.38,-80.49
Artibeus fraterculus,-1.940277778,-80.72305556
Artibeus lituratus,-3.063188889,-79.70544722
Artibeus lituratus,-3.061447222,-79.693725
Artibeus lituratus,-3.051388889,-79.7175
Artibeus lituratus,-2.583333333,-78.5
Artibeus lituratus,-1.616666667,-79.25
Artibeus lituratus,-1.45,-79.3
Artibeus lituratus,-3.7365,-79.59475
Artibeus lituratus,-3.684444444,-79.62227778
Artibeus lituratus,-3.674277778,-80.10555556
Artibeus lituratus,-3.656694444,-80.18227778
Artibeus lituratus,-3.55,-80.05
Artibeus lituratus,0.333333333,-79.46666667
Artibeus lituratus,0.517777778,-79.34138889
Artibeus lituratus,0.616666667,-79.85
Artibeus lituratus,0.65,-79.53333333
Artibeus lituratus,0.681388889,-78.94611111
Artibeus lituratus,0.716666667,-79.68333333
Artibeus lituratus,0.716666667,-78.91888889
Artibeus lituratus,0.729722222,-78.91888889
Artibeus lituratus,0.75,-78.91888889
Artibeus lituratus,0.864722222,-78.56666667
Artibeus lituratus,0.878333333,-78.79222222
Artibeus lituratus,0.933333333,-79.43333333
Artibeus lituratus,1.036666667,-78.77361111
Artibeus lituratus,1.072583333,-78.7115
Artibeus lituratus,1.093555556,-78.70597222
Artibeus lituratus,1.114166667,-78.99361111
Artibeus lituratus,1.116666667,-78.6
Artibeus lituratus,1.232,-78.76602778
Artibeus lituratus,1.270277778,-78.80305556
Artibeus lituratus,1.346,-78.71666944
Artibeus lituratus,1.355944444,-78.72425
Artibeus lituratus,-3,-79.78333333
Artibeus lituratus,-2.744611111,-79.91488889
Artibeus lituratus,-2.427277778,-80.02158333
Artibeus lituratus,-2.42675,-79.56125
Artibeus lituratus,-2.421027778,-79.62697222
Artibeus lituratus,-2.418916667,-79.65083333
Artibeus lituratus,-2.166666667,-79.83333333
Artibeus lituratus,-2.166666667,-79.16666667
Artibeus lituratus,-1.965,-80.57094167
Artibeus lituratus,0.756666667,-78.28833333
Artibeus lituratus,-1.5,-79.43
Artibeus lituratus,-1.466666667,-79.65
Artibeus lituratus,-0.5864,-79.36666667
Artibeus lituratus,-1.6,-80.7
Artibeus lituratus,0.35,-80.01666667
Artibeus lituratus,-3.596944444,-78.46277778
Artibeus lituratus,-3.083333333,-78.21666667
Artibeus lituratus,-2.716666667,-78.31666667
Artibeus lituratus,-2.583333333,-78.25
Artibeus lituratus,-2.468888889,-78.2025
Artibeus lituratus,-2.466666667,-78.16666667
Artibeus lituratus,-2.316666667,-78.125
Artibeus lituratus,-1.910428,-77.83316203
Artibeus lituratus,-1.874833333,-78.14141667
Artibeus lituratus,-1.065833333,-77.61666667
Artibeus lituratus,-0.933333333,-77.83333333
Artibeus lituratus,-0.85,-77.8
Artibeus lituratus,-0.733333333,-77.53333333
Artibeus lituratus,-0.733333333,-77.55
Artibeus lituratus,-0.718333333,-77.61166667
Artibeus lituratus,-0.691694444,-77.72847222
Artibeus lituratus,-0.925555556,-76.69138889
Artibeus lituratus,-0.901111111,-76.2175
Artibeus lituratus,-0.869722222,-75.90694444
Artibeus lituratus,-0.865555556,-75.92444444
Artibeus lituratus,-0.831666667,-77.4775
Artibeus lituratus,-0.8,-76.4
Artibeus lituratus,-0.774444444,-76.20222222
Artibeus lituratus,-0.766666667,-77.3
Artibeus lituratus,-0.75,-76.76666667
Artibeus lituratus,-0.721111111,-77.42333333
Artibeus lituratus,-0.699721,-77.43000021
Artibeus lituratus,-0.694444444,-76.67083333
Artibeus lituratus,-0.683333333,-76.4
Artibeus lituratus,-0.683333333,-76.43333333
Artibeus lituratus,-0.65,-76.45
Artibeus lituratus,-0.633333333,-77.41666667
Artibeus lituratus,-0.624444444,-76.47217222
Artibeus lituratus,-0.623611111,-77.35833333
Artibeus lituratus,-0.623012,-76.50573337
Artibeus lituratus,-0.621944444,-76.49361111
Artibeus lituratus,-0.616666667,-75.33333333
Artibeus lituratus,-0.606777,-76.46623425
Artibeus lituratus,-0.5325,-76.11694444
Artibeus lituratus,-0.5,-77.31666667
Artibeus lituratus,-0.45,-76.65
Artibeus lituratus,-0.426666667,-77.00833333
Artibeus lituratus,-0.312222222,-77.16805556
Artibeus lituratus,-1.8025,-76.78444444
Artibeus lituratus,-1.551388889,-78.02277778
Artibeus lituratus,-1.510833333,-78.06694444
Artibeus lituratus,-1.503611111,-78.02722222
Artibeus lituratus,-1.479722222,-77.99611111
Artibeus lituratus,-1.474444444,-77.65055556
Artibeus lituratus,-1.466666667,-78.11861111
Artibeus lituratus,-1.405713,-77.99548873
Artibeus lituratus,-1.390277778,-77.41527778
Artibeus lituratus,0.183333333,-78.63333333
Artibeus lituratus,0.216666667,-78.8
Artibeus lituratus,-0.314438889,-79.0207
Artibeus lituratus,-0.313055556,-78.96765833
Artibeus lituratus,-0.274166667,-79.07908333
Artibeus lituratus,-0.256944444,-79.15694444
Artibeus lituratus,-0.25,-79.18333333
Artibeus lituratus,-0.583333333,-75.48333333
Artibeus lituratus,-0.429828,-76.10000009
Artibeus lituratus,-0.4,-76.63333333
Artibeus lituratus,-0.260555556,-75.88333333
Artibeus lituratus,-0.183333333,-76.25
Artibeus lituratus,-0.083333333,-76.16666667
Artibeus lituratus,-0.083333333,-77.58333333
Artibeus lituratus,0.05,-76.96666667
Artibeus lituratus,-0.033333333,-77.11666667
Artibeus lituratus,0.057416667,-77.08086667
Artibeus lituratus,0.086111111,-76.87416667
Artibeus lituratus,0.155833333,-77.16
Artibeus lituratus,0.175,-76.83333333
Artibeus lituratus,0.3,-77.13333333
Artibeus lituratus,-1.381388889,-78.27444444
Artibeus lituratus,-1.343055556,-78.21388889
Artibeus lituratus,-3.746388889,-78.55238889
Artibeus obscurus,-3.201944444,-78.42833333
Artibeus obscurus,-3.062416667,-77.94585833
Artibeus obscurus,-2.466666667,-78.16666667
Artibeus obscurus,-2.21645,-78.12645833
Artibeus obscurus,-1.910428,-77.83316203
Artibeus obscurus,-1.874833333,-78.14141667
Artibeus obscurus,-1.065833333,-77.61666667
Artibeus obscurus,-0.883333333,-77.58333333
Artibeus obscurus,-0.718333333,-77.61166667
