OBJECTID,Family,Species,Trophic_Guild,Weight,SOURCE,Weight,Source 2,MUSEUM NUMBER ,Provincia,Localidad,Lat,Long,LATITUDE,LONGITUDE,Elevation,Reference,,,,,,,,
33,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112494,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
34,Emballonuridae,Balantiopteryx infusca,LFI,6.50,5 to 8 g (Tirira 2007),5.27,Pacifini et al. 2013,CMNH 112495,Imbabura,Tuneles de Lita,00 52' N,78 28' W,0.866667,-78.466667,510,McCarthy et al. 2000; Lim et al. 2004,,,,,,,,
35,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,QCAZ 2188,Esmeraldas,Viruela,00 54' N,78 59' W,0.900000,-78.983333,35,Tirira 2008,,,,,,,,
36,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,QCAZ 1268,Esmeraldas,Estero Caraño,01 16 N,78 49' W,1.266667,-78.816667,5,Tirira 2008,,,,,,,,
37,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,QCAZ 1267,Imbabura,"Junin, La Mina",00 16' N,78 39' W,0.266667,-78.650000,1715,Tirira 2008,,,,,,,,
38,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,FMNH 53421,Manabí,Mangoya,00 10' S,79 39' W,-0.166667,-79.633300,200,Simmons & Handley 1998,,,,,,,,
39,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,FMNH 41431,Pastaza,Montalvo,02 04' S,76 58' W,-2.066667,-76.966667,250,Sanborn 1937,,,,,,,,
40,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,MEPN 291,Pastaza,"Mera, Estación Sanidad Animal","01º28´00"" S","78°06'07"" W",-1.466667,-78.118611,1150,Rageot & Albuja 1994,,,,,,,,
41,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,MEPN 292,Pastaza,"Mera, Estación Sanidad Animal","01º28´00"" S","78°06'07"" W",-1.466667,-78.118611,1150,Rageot & Albuja 1994,,,,,,,,
42,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,AMNH 63663,Pastaza,Rio Alpayacu,01 28' S,78 07' W,-1.466667,-78.116667,1130,Sanborn 1937,,,,,,,,
43,Emballonuridae,Centronycteris centralis,LFI,5.00,4 to 6 g (Tirira 2007),23.00,Pacifini et al. 2013,QCAZ 2450,Zamora Chinchipe,"Shaime, Rio Nangaritza",04 10' S,78 43' W,-4.166667,-78.716667,1030,Tirira 1999,,,,,,,,
44,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 294,Esmeraldas,La Chiquita Campamento Forestal ,01°14'  N,"78°45'36"" W",1.233333,-78.760000,100,Albuja 1999,,,,,,,,
45,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 5172,Morona Santiago,"Río Llushin, Parque Nacional Sangay","01°35'24"" S","78°09'28"" W",-1.590000,-78.157778,1151,This Publication,,,,,,,,
46,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 5173,Morona Santiago,"Río Llushin, Parque Nacional Sangay","01°35'24"" S","78°09'28"" W",-1.590000,-78.157778,1151,This Publication,,,,,,,,
47,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MECN 543,Napo,Jatun Sacha ,01 04' S,77 38' W,-1.066667,-77.633333,450,Tirira & Arévalo 2012,,,,,,,,
48,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MEPN 293,Napo,Cavernas de Jumandi,00°56'  S,77°50'  W,-0.933333,-77.833333,650,Albuja 1982,,,,,,,,
49,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,ROM 105746,Orellana,"Parque Nacional Yasuni, 30 KM SW of Onkone Gare","00 45' 00"" S","76 46' 00"" W",-0.750000,-76.766667,250,"Reid et al. 2000, Lim et al 2008, Clare et al. 2011",,,,,,,,
50,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,ROM 105747,Orellana,"Parque Nacional Yasuni, 30 KM SW of Onkone Gare","00 45' 00"" S","76 46' 00"" W",-0.750000,-76.766667,250,"Reid et al. 2000, Clare et al. 2011",,,,,,,,
51,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,QCAZ 4474,Orellana,"Parque Nacional Yasuni, Helipuerto 208",00 42' N,76 15' W,-0.700000,-76.250000,200,Tirira & Arévalo 2012,,,,,,,,
52,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,AMNH 68026,Orellana,Rio Suno,00 42' S,77 08' W,-0.700000,-77.133333,550,Tirira & Arévalo 2012,,,,,,,,
53,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MECN 1072,Orellana,Onkone Gare,00 39' S,76 27' W,-0.650000,-76.450000,250,"Reid et al. 2000, Clare et al. 2011",,,,,,,,
54,Emballonuridae,Cormura brevirostris,LFI,9.00,7 to 11 g (Tirira 2007),9.26,Pacifini et al. 2013,MECN 1074,Orellana,Onkone Gare,00 39' S,76 27' W,-0.650000,-76.450000,250,"Reid et al. 2000, Clare et al. 2011",,,,,,,,
